match_id,innings_number,over_number,bowler,runs_conceded,wickets,is_maiden
1075989,2,18,1c790f4f,5,0,False
1075990,1,0,eb2d5fe7,5,0,False
1075990,1,1,245c97cb,1,0,False
1075990,1,2,eb2d5fe7,12,0,False
1075990,1,3,245c97cb,11,1,False
1075990,1,4,3a0f6df2,4,0,False
1075990,1,5,0f12f9df,3,1,False
1075990,1,6,486065b3,5,0,False
1075990,1,7,3a0f6df2,4,0,False
1075990,1,8,486065b3,9,0,False
1075990,1,9,3086f7a4,9,0,False
1075990,1,10,3a0f6df2,11,0,False
1075990,1,11,0f12f9df,5,1,False
1075990,1,12,3a0f6df2,6,0,False
1075990,1,13,245c97cb,1,0,False
1075990,1,14,3086f7a4,18,1,False
1075990,1,15,eb2d5fe7,9,0,False
1075990,1,16,0f12f9df,9,1,False
1075990,1,17,eb2d5fe7,11,0,False
1075990,1,18,0f12f9df,17,0,False
1075990,1,19,245c97cb,8,1,False
1075990,2,0,e174dadd,6,0,False
1075990,2,1,9cb8d7a6,7,0,False
1075990,2,2,5af743d0,10,2,False
1075990,2,3,9cb8d7a6,7,0,False
1075990,2,4,5af743d0,2,1,False
1075990,2,5,e174dadd,7,0,False
1075990,2,6,abb7c76c,10,0,False
1075990,2,7,7ca5e05d,6,0,False
1075990,2,8,a757b0d8,19,0,False
1075990,2,9,7ca5e05d,5,0,False
1075990,2,10,64c34cd0,9,0,False
1075990,2,11,abb7c76c,9,0,False
1075990,2,12,5af743d0,6,0,False
1075990,2,13,7ca5e05d,8,0,False
1075990,2,14,e174dadd,6,0,False
1075990,2,15,7ca5e05d,11,0,False
1075990,2,16,9cb8d7a6,13,0,False
1075990,2,17,e174dadd,8,0,False
1075990,2,18,5af743d0,5,0,False
1075990,2,19,a757b0d8,4,0,False
1075991,1,0,574665e2,5,1,False
1075991,1,1,2911de16,4,2,False
1075991,1,2,9ab63e7b,11,0,False
1075991,1,3,2911de16,7,1,False
1075991,1,4,ffe699c0,8,0,False
1075991,1,5,2911de16,12,0,False
1075991,1,6,b3118300,5,1,False
1075991,1,7,9ab63e7b,1,1,False
1075991,1,8,b3118300,4,0,False
1075991,1,9,0dc00542,2,1,False
1075991,1,10,ffe699c0,0,2,False
1075991,2,0,9d430b40,3,0,False
1075991,2,1,64d43928,1,1,False
1075991,2,2,9d430b40,1,1,False
1075991,2,3,64d43928,3,0,False
1075991,2,4,9d430b40,1,0,False
1075991,2,5,1bf9a8ef,11,0,False
1075991,2,6,7662cf7a,4,0,False
1075991,2,7,f2800ef3,2,1,False
1075991,2,8,7662cf7a,7,0,False
1075991,2,9,f2800ef3,3,0,False
