match_id,team,player_hash,player_name
1075986,Islamabad United,35205dfc,DR Smith
1075986,Islamabad United,193ef196,Sharjeel Khan
1075986,Islamabad United,b0c772ee,BJ Haddin
1075986,Islamabad United,4329fbb5,SR Watson
1075986,Islamabad United,c16d4035,SW Billings
1075986,Islamabad United,7eae4418,Misbah-ul-Haq
1075986,Islamabad United,b8eddbdb,Imran Khalid
1075986,Islamabad United,c6a1b1bb,Amad Butt
1075986,Islamabad United,05d74535,Saeed Ajmal
1075986,Islamabad United,68ddabdb,Mohammad Sami
1075986,Islamabad United,a8e3170f,Mohammad Irfan
1075986,Peshawar Zalmi,9ab63e7b,Mohammad Hafeez
1075986,Peshawar Zalmi,ad9c32a2,DJ Malan
1075986,Peshawar Zalmi,ff077124,Kamran Akmal
1075986,Peshawar Zalmi,d2a6c0e6,EJG Morgan
1075986,Peshawar Zalmi,7cd0a092,Haris Sohail
1075986,Peshawar Zalmi,c03c6200,DJG Sammy
1075986,Peshawar Zalmi,0dc00542,Shahid Afridi
1075986,Peshawar Zalmi,29e253dd,Iftikhar Ahmed
1075986,Peshawar Zalmi,ffe699c0,CJ Jordan
1075986,Peshawar Zalmi,2911de16,Hasan Ali
1075986,Peshawar Zalmi,086f5984,Junaid Khan
1075987,Lahore Qalandars,d1c36f5c,JJ Roy
1075987,Lahore Qalandars,b8a55852,BB McCullum
1075987,Lahore Qalandars,1777c020,Fakhar Zaman
1075987,Lahore Qalandars,fd2bf2a0,Umar Akmal
1075987,Lahore Qalandars,2f26ac1a,Mohammad Rizwan
1075987,Lahore Qalandars,c03449e0,GD Elliott
1075987,Lahore Qalandars,64d43928,Sohail Tanvir
1075987,Lahore Qalandars,9d430b40,SP Narine
1075987,Lahore Qalandars,7662cf7a,Bilawal Bhatti
1075987,Lahore Qalandars,f2800ef3,Yasir Shah
1075987,Lahore Qalandars,1bf9a8ef,Mohammad Irfan (4)
1075987,Quetta Gladiators,50250426,Asad Shafiq
1075987,Quetta Gladiators,f8fd6e3f,Ahmed Shehzad
1075987,Quetta Gladiators,39f01cdb,KP Pietersen
1075987,Quetta Gladiators,cad00a4d,RR Rossouw
1075987,Quetta Gladiators,2254ab79,Sarfraz Ahmed
1075987,Quetta Gladiators,3086f7a4,Mohammad Nawaz (3)
1075987,Quetta Gladiators,0f12f9df,NLTC Perera
1075987,Quetta Gladiators,486065b3,Hassan Khan
1075987,Quetta Gladiators,eb2d5fe7,Anwar Ali
1075987,Quetta Gladiators,245c97cb,TS Mills
1075987,Quetta Gladiators,3a0f6df2,Zulfiqar Babar
1075988,Karachi Kings,fd201eb4,Shahzaib Hasan
1075988,Karachi Kings,db584dad,CH Gayle
1075988,Karachi Kings,8a75e999,Babar Azam
1075988,Karachi Kings,6b71e6cf,KC Sangakkara
1075988,Karachi Kings,64c34cd0,Shoaib Malik
1075988,Karachi Kings,7ca5e05d,RS Bopara
1075988,Karachi Kings,a757b0d8,KA Pollard
1075988,Karachi Kings,9cb8d7a6,Imad Wasim
1075988,Karachi Kings,e174dadd,Mohammad Amir
1075988,Karachi Kings,5af743d0,Sohail Khan
1075988,Karachi Kings,abb7c76c,Abrar Ahmed
1075988,Peshawar Zalmi,9ab63e7b,Mohammad Hafeez
1075988,Peshawar Zalmi,ad9c32a2,DJ Malan
1075988,Peshawar Zalmi,ff077124,Kamran Akmal
1075988,Peshawar Zalmi,d2a6c0e6,EJG Morgan
1075988,Peshawar Zalmi,7cd0a092,Haris Sohail
1075988,Peshawar Zalmi,c03c6200,DJG Sammy
1075988,Peshawar Zalmi,0dc00542,Shahid Afridi
1075988,Peshawar Zalmi,574665e2,Mohammad Asghar
1075988,Peshawar Zalmi,b3118300,Wahab Riaz
1075988,Peshawar Zalmi,ffe699c0,CJ Jordan
1075988,Peshawar Zalmi,2911de16,Hasan Ali
1075989,Islamabad United,35205dfc,DR Smith
1075989,Islamabad United,c16d4035,SW Billings
1075989,Islamabad United,b0c772ee,BJ Haddin
1075989,Islamabad United,7eae4418,Misbah-ul-Haq
1075989,Islamabad United,4329fbb5,SR Watson
1075989,Islamabad United,0a4736eb,Asif Ali
1075989,Islamabad United,9de62878,Shadab Khan
1075989,Islamabad United,68ddabdb,Mohammad Sami
1075989,Islamabad United,05d74535,Saeed Ajmal
1075989,Islamabad United,1c790f4f,Rumman Raees
1075989,Islamabad United,b8eddbdb,Imran Khalid
1075989,Lahore Qalandars,d1c36f5c,JJ Roy
1075989,Lahore Qalandars,b8a55852,BB McCullum
1075989,Lahore Qalandars,1777c020,Fakhar Zaman
1075989,Lahore Qalandars,fd2bf2a0,Umar Akmal
1075989,Lahore Qalandars,c03449e0,GD Elliott
1075989,Lahore Qalandars,9d430b40,SP Narine
1075989,Lahore Qalandars,64d43928,Sohail Tanvir
1075989,Lahore Qalandars,2f26ac1a,Mohammad Rizwan
1075989,Lahore Qalandars,7662cf7a,Bilawal Bhatti
1075989,Lahore Qalandars,f2800ef3,Yasir Shah
1075989,Lahore Qalandars,1bf9a8ef,Mohammad Irfan (4)
1075990,Karachi Kings,fd201eb4,Shahzaib Hasan
1075990,Karachi Kings,db584dad,CH Gayle
1075990,Karachi Kings,8a75e999,Babar Azam
1075990,Karachi Kings,6b71e6cf,KC Sangakkara
1075990,Karachi Kings,a757b0d8,KA Pollard
1075990,Karachi Kings,64c34cd0,Shoaib Malik
1075990,Karachi Kings,7ca5e05d,RS Bopara
1075990,Karachi Kings,9cb8d7a6,Imad Wasim
1075990,Karachi Kings,5af743d0,Sohail Khan
1075990,Karachi Kings,e174dadd,Mohammad Amir
1075990,Karachi Kings,abb7c76c,Abrar Ahmed
1075990,Quetta Gladiators,50250426,Asad Shafiq
1075990,Quetta Gladiators,f8fd6e3f,Ahmed Shehzad
1075990,Quetta Gladiators,39f01cdb,KP Pietersen
1075990,Quetta Gladiators,cad00a4d,RR Rossouw
1075990,Quetta Gladiators,2254ab79,Sarfraz Ahmed
1075990,Quetta Gladiators,3086f7a4,Mohammad Nawaz (3)
1075990,Quetta Gladiators,0f12f9df,NLTC Perera
1075990,Quetta Gladiators,486065b3,Hassan Khan
1075990,Quetta Gladiators,eb2d5fe7,Anwar Ali
1075990,Quetta Gladiators,245c97cb,TS Mills
1075990,Quetta Gladiators,3a0f6df2,Zulfiqar Babar
1075991,Lahore Qalandars,d1c36f5c,JJ Roy
1075991,Lahore Qalandars,b8a55852,BB McCullum
